"","X.1","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"37",37,37,12,2015-08-28,"Estacion Trafico Centro",40.56521739,0.10696584,0.31807315,2.75e-10,5.95e-09,2.03e-09,1.94e-09,6.03e-10,8.69e-10,2.01e-09,4.92e-10,512.3341744,21.4435732,2123.365165,714.5444818,80427.59583,80170.04533,80632.76898,138.5859346,287.4859696,284.488569,290.7202093,1.529664013,292.8474509,287.1888678,300.1072795,4.375829789,0.157558169,-0.473466327,1.416706108,0.533863231,-0.940848063,-2.186336382,-0.295659256,0.492384186,0.000287912,2.18e-05,0.001601116,0.000360942,1483,5
"38",38,38,12,2015-08-29,"Estacion Trafico Centro",42.2173913,0.260976497,0.31807315,3.38e-10,4e-09,1.38e-09,2.8e-09,6.18e-10,8.61e-10,2.68e-09,6.67e-10,759.0223624,30.45835985,2315.585621,924.1066926,80399.44381,80148.74271,80565.36755,128.3033078,285.7540642,280.5777885,288.9755088,2.697771526,293.5270863,287.3748429,301.9296608,5.263942587,0.142314779,-0.605873021,1.393812913,0.658638744,-1.489328314,-2.341558141,-0.901833244,0.494665234,6.23e-05,1.75e-12,0.00086702,0.000203934,1483,6
"40",40,40,12,2015-09-13,"Estacion Trafico Centro",23.70833333,0.146596834,0.304929544,3.36e-10,1.24e-09,4.79e-10,3.07e-09,1.17e-09,6.97e-10,1.15e-09,2.72e-10,698.7168003,17.4004443,2401.188202,920.8340245,80459.15865,80251.53868,80645.60272,120.08249,284.8102007,281.3468628,287.039789,1.637423755,292.7247122,285.7420905,300.834625,5.381156528,0.097189782,-0.583825414,1.081385039,0.579040359,-1.043947404,-1.859813151,-0.283024197,0.449578553,2.3e-06,0,1.35e-05,3.65e-06,1483,7
"41",41,41,12,2015-09-16,"Estacion Trafico Centro",33.25,0.184597963,0.304929544,4.9e-10,2.5e-09,9.16e-10,4.83e-09,7.89e-10,1.37e-09,7.09e-09,1.55e-09,627.0075741,21.73236883,2233.314482,802.3284742,80517.0321,80294.09757,80681.28102,125.3692233,285.9198237,282.6156807,288.7120881,1.729905821,293.7727932,286.501187,302.2124057,5.301200597,-0.085477136,-0.755653404,0.614668411,0.414218816,-0.829656966,-1.292156161,-0.083430405,0.302366434,6.2e-05,0,0.000568772,0.000157069,1483,3
"43",43,43,12,2015-09-25,"Estacion Trafico Centro",26.75,0.211851237,0.304929544,3.72e-10,6.49e-10,2.48e-10,3.26e-09,8.72e-10,8.1e-10,1.68e-09,4.43e-10,615.4240277,33.44193599,1946.61256,744.3636595,80406.58614,80141.31715,80610.59563,149.2549351,286.7663297,283.9720902,288.2692346,1.413023442,293.5357494,286.8581885,300.9952591,4.677877609,0.301516183,-0.39354535,1.340466601,0.529664432,-1.121652027,-1.849724812,-0.550338885,0.391129791,9.91e-06,2.74e-07,5.27e-05,1.39e-05,1483,5
"44",44,44,12,2015-09-27,"Estacion Trafico Centro",24.125,0.194700706,0.304929544,3.4e-10,1.13e-09,4.24e-10,3.25e-09,1.26e-09,4.19e-10,4.73e-09,1.16e-09,716.6532055,21.90587729,2204.021514,862.8320009,80444.8669,80144.40472,80637.08725,143.6203706,285.7747634,281.7223224,287.9876862,1.830373982,293.8394294,286.4829094,301.3455181,4.863889979,0.256003764,-0.273357276,0.984136696,0.388234263,-1.165025352,-2.08403959,-0.328879624,0.539268138,3.87e-06,1.75e-08,1.63e-05,5.02e-06,1483,7
"46",46,46,12,2015-10-25,"Estacion Trafico Centro",36.875,0.368481648,0.258769598,3.69e-10,3.83e-10,1.26e-10,2.16e-09,5.63e-10,1.43e-09,2.7e-09,5.62e-10,255.7033879,19.34908167,1004.243019,334.2784326,80508.4458,80314.84599,80674.6661,109.8074603,288.8320719,287.3036863,290.7145508,0.859247328,290.5431419,287.7673116,296.7598773,2.674979356,0.113789696,-0.695828463,0.827954502,0.390838288,-0.234359569,-0.974763067,0.358144912,0.357647281,0.000487742,4.39e-05,0.004088865,0.000896076,1483,7
"47",47,47,12,2015-11-03,"Estacion Trafico Centro",34.875,0.386193818,0.320778652,3.22e-10,2.9e-10,9.18e-11,1.89e-09,3.89e-10,8.34e-10,2.53e-09,5.37e-10,356.085381,53.75617182,1111.063991,373.061596,80486.85582,80261.33692,80658.38855,129.0085156,287.748192,286.6226057,289.8603972,0.749354425,291.3238616,287.6509196,296.8062359,3.188486715,0.496005519,-0.503183563,1.114806821,0.403549606,0.293936507,-0.403604254,0.871288885,0.38156986,0.000313072,5.85e-06,0.002924237,0.000675253,1483,2
"48",48,48,12,2015-11-10,"Estacion Trafico Centro",27.625,0.162495884,0.320778652,2.65e-10,5.69e-10,1.86e-10,2e-09,6.39e-10,1.26e-09,4.24e-09,9.64e-10,357.2603732,13.03870398,1375.236296,497.8470707,80473.34571,80177.20083,80672.61108,154.8045206,288.1670026,286.8714593,290.6309992,0.987831055,291.8228872,287.3397426,298.0519998,3.791636105,0.141761228,-0.336632268,0.909635036,0.396502457,-0.463338617,-1.253283826,0.108418199,0.432610342,7.45e-05,9.01e-10,0.000397911,0.000115382,1483,2
"49",49,49,12,2015-11-22,"Estacion Trafico Centro",23.83333333,0.187118724,0.320778652,3.04e-10,6.02e-10,1.91e-10,1.93e-09,5.3e-10,9.58e-10,3.44e-09,6.57e-10,254.1719497,15.65692367,941.5528803,338.3316743,80309.28544,80161.7776,80494.09557,93.43345042,289.5464639,287.9090146,291.2355732,0.827549302,292.0544317,288.3414502,297.317033,3.061670384,0.162660647,-0.517585749,0.947473851,0.443259324,-0.315389778,-0.906801128,0.542459461,0.356508504,0.000139876,2.71e-06,0.000395156,0.000122661,1483,7
"50",50,50,12,2015-11-30,"Estacion Trafico Centro",29.27272727,0.264152156,0.320778652,2.94e-10,5.44e-10,2.05e-10,2.46e-09,8.32e-10,2.1e-09,3.7e-09,8.26e-10,322.3281966,20.91862041,1266.082104,433.4576684,80238.65401,80048.64652,80400.20508,103.220036,289.4129833,288.1046815,292.0946337,0.965010676,292.7460207,288.2349652,298.3639793,3.268427693,0.307641398,-0.358907827,1.234501844,0.429798642,-0.656802019,-0.999962188,-0.375436093,0.184782665,0.000229503,9.47e-07,0.001751374,0.000420761,1483,1
"51",51,51,12,2015-12-05,"Estacion Trafico Centro",32.41666667,0.266701867,0.311733471,3.41e-10,5.99e-10,2.42e-10,3.13e-09,1.3e-09,1.1e-09,2.46e-09,5.75e-10,327.0597868,17.30522416,1460.978718,475.0587708,80554.58434,80319.71818,80730.06093,129.837586,288.1332396,285.9397925,291.11554,1.121140946,291.7930856,286.1007049,298.9327811,4.203563466,-0.025098018,-0.689313832,0.697234873,0.410404134,-0.75577443,-1.438225291,-0.317912882,0.258923681,0.000177467,1.57e-12,0.001410715,0.000432291,1483,6
"52",52,52,12,2015-12-10,"Estacion Trafico Centro",35.70833333,0.264275339,0.311733471,3.27e-10,1.6e-09,5.4e-10,2.56e-09,8.93e-10,9.24e-10,1.52e-08,3.22e-09,330.4729148,29.18970446,1310.206309,445.5633399,80491.1584,80289.54026,80658.69808,116.0283509,288.4343285,286.6685006,290.5843239,1.063139258,292.4677176,287.2492886,298.798697,3.91585104,0.088319805,-0.689013005,0.804687376,0.425788895,-0.722349723,-1.171518767,-0.306351468,0.216640987,6.84e-05,5.39e-07,0.000647757,0.000135207,1483,4
"55",55,55,12,2016-01-03,"Estacion Trafico Centro",23.56521739,0.119638764,0.228073222,3.56e-10,1.73e-09,8.11e-10,2.36e-09,5.06e-10,1.81e-09,3.33e-09,6.99e-10,321.2438901,14.70143562,1291.086007,441.5993932,80419.55914,80236.73015,80573.25885,103.5394393,288.1341193,286.0670887,290.435036,1.015144473,291.7463753,286.4808614,298.25093,3.965665367,0.027571071,-0.521533686,0.79934499,0.36351344,-0.22515321,-0.635356267,0.322603571,0.266893049,0.000517955,2.06e-06,0.002497821,0.000754223,1483,7
"56",56,56,12,2016-01-06,"Estacion Trafico Centro",29.95833333,0.300853046,0.228073222,3.43e-10,2.25e-09,9.05e-10,2.05e-09,6.27e-10,1.35e-09,1.13e-08,2.53e-09,277.7434191,15.21626927,1120.966768,368.8410018,80609.71196,80417.21791,80763.6211,103.0806113,288.7069313,287.301173,289.6998215,0.653657841,292.1954011,287.9903809,297.3795889,3.017259677,0.273868469,-0.232037693,1.106753839,0.320590266,-0.178985181,-0.553358735,0.327558567,0.23514777,0.000281117,3.96e-06,0.002835325,0.000606196,1483,3
"58",58,58,12,2016-01-09,"Estacion Trafico Centro",31.70833333,0.201283691,0.228073222,3.87e-10,2e-09,6.88e-10,2.44e-09,9.43e-10,1.18e-09,9.12e-09,2.22e-09,424.7753881,17.14213776,1584.183505,542.5813145,80435.76033,80242.66739,80584.47327,100.1290072,288.3451927,286.1030088,290.3900503,1.413897805,292.8902558,286.5382828,299.4857673,4.135577579,0.18961664,-0.230458385,0.816094372,0.328128513,-0.242858488,-0.462817047,0.076922566,0.154596416,4.04e-05,5.78e-07,0.000421056,8.8e-05,1483,6
"59",59,59,12,2016-01-12,"Estacion Trafico Centro",49.29166667,0.244962914,0.228073222,6.39e-10,4.74e-09,2.14e-09,5.14e-09,4.91e-10,1.78e-09,1.43e-08,3.29e-09,441.1250182,22.7369683,1445.998045,558.7819333,80551.98703,80338.08713,80731.57829,120.9739145,287.7820227,285.0598524,289.6283624,1.291538283,291.607196,285.3295667,298.7564365,4.671450414,0.139281071,-0.358468663,0.535013088,0.262103499,-0.392045906,-0.729700886,0.037077358,0.185837153,1.52e-05,8.34e-10,7.51e-05,2.19e-05,1483,2
"61",61,61,12,2016-01-16,"Estacion Trafico Centro",39.70833333,0.143811228,0.228073222,4.79e-10,1.04e-09,4.2e-10,4.33e-09,1.22e-09,1.04e-09,7.51e-09,1.74e-09,537.2292024,18.62445068,1751.796647,678.6069094,80390.97596,80189.52061,80601.156,118.5671374,286.6246,283.8140348,288.9827398,1.426022357,293.1633824,286.047449,301.1691493,5.208289274,0.194145933,-0.409941437,0.694258408,0.387179232,-0.80763776,-1.370905174,-0.295594571,0.283315001,4.42e-06,9.09e-08,2.31e-05,6.49e-06,1483,6
