"","X","ID","date","estacion","PM25","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","DEM","dayWeek"
"30",31,1,2015-02-01,"BSQ",22.875,0.085243515,0.177033583,6.57e-10,4.83e-09,1.34e-09,1.87e-09,5.15e-09,1.53e-09,9.77e-09,2.06e-09,503.2323324,18.73293207,1434.055594,545.0827703,90342.36207,90235.96794,90474.27143,81.29607918,284.0634426,282.0516032,287.3109849,1.512837338,294.4090383,287.8723442,301.9502804,4.940245156,0.465298487,-0.123545806,1.339646452,0.465364729,1.373748493,-0.533374064,2.962449687,1.243220154,0,0,0,580,7
"32",33,1,2015-02-03,"BSQ",25.75,0.077352565,0.177033583,7.08e-10,4.24e-09,1.16e-09,2.68e-09,5.37e-09,1.51e-09,1.64e-08,3.78e-09,535.2328365,22.69668633,1534.148504,569.8427215,90339.6311,90229.23375,90460.80349,63.24425961,282.8925676,281.5844005,284.4201195,0.745336473,294.4718585,287.8608452,301.717145,4.736573721,0.519172951,-0.286250304,1.140693832,0.364740757,1.311581446,-0.79997106,2.983225335,1.248385568,0,0,0,580,2
"34",35,1,2015-02-05,"BSQ",25.375,0.132071043,0.177033583,7.42e-10,3.21e-09,9.03e-10,2.52e-09,5.16e-09,1.58e-09,9.27e-09,2.11e-09,453.6587478,16.29621345,1246.555186,486.3811967,90218.69807,90071.02796,90370.55979,95.36783778,283.5714979,282.1928754,285.3572129,1.006582336,294.2331042,288.5511738,300.3693754,4.338918608,0.599389385,-0.176121563,1.497306435,0.507079776,1.280406638,-0.42753569,3.111258467,1.304662522,0,0,0,580,4
"37",38,1,2015-02-08,"BSQ",12.75,0.071471999,0.177033583,5.97e-10,2.29e-09,6.7e-10,1.5e-09,5.16e-09,1.35e-09,8.66e-09,2.23e-09,614.2322125,32.20000171,1746.824885,633.240641,90532.96799,90367.09871,90698.31273,89.9813437,283.5540698,281.5419422,285.2479576,1.205869883,292.4766382,287.2896682,298.4928703,3.997561502,0.410623414,-0.120519178,1.182608158,0.369293825,1.339596992,-0.309903871,2.953487929,1.134919125,0,0,0,580,7
"38",39,1,2015-02-10,"BSQ",21.125,0.086361715,0.177033583,6.93e-10,3.77e-09,1e-09,3.68e-09,7.04e-09,1.77e-09,6.38e-09,1.19e-09,687.2043937,19.16634511,2091.95896,789.1384382,90570.64961,90442.90687,90676.17276,67.51576165,279.6806228,278.1933531,281.7671613,0.901327932,292.755847,285.8609308,299.539119,4.815126711,0.498201493,0.012626502,1.269304025,0.352811737,0.923870502,-1.005145048,2.863034574,1.32198754,0,0,0,580,2
"40",41,1,2015-02-12,"BSQ",20.9583,0.04344649,0.177033583,6.29e-10,4.06e-09,1.05e-09,2.28e-09,6.2e-09,1.51e-09,6.35e-09,1.12e-09,606.5462288,15.71715674,1832.181879,707.6415732,90572.03791,90346.00643,90703.11203,107.8056126,280.8435012,279.3758928,283.0001183,0.939514711,295.9765693,289.0304786,304.214128,5.408248737,0.572407241,-0.065569925,1.640910886,0.610977137,0.780339146,-1.30594751,2.413372554,1.342913164,0,0,0,580,4
"41",42,1,2015-02-13,"BSQ",25.9583,0.058988011,0.177033583,8.13e-10,4.1e-09,1.04e-09,3.85e-09,4.28e-09,1.06e-09,1.53e-08,2.43e-09,489.9418154,15.42389993,1522.573242,587.3584041,90278.31706,90180.94335,90400.92855,58.55621167,279.5961636,276.9482521,281.5429125,1.403275108,296.4952187,288.0944496,304.2638851,5.527965658,0.326998612,-0.148783704,1.059514434,0.402700495,0.746411205,-1.521740802,3.141841805,1.649739123,0,0,0,580,5
"42",43,1,2015-02-14,"BSQ",31.875,0.133451568,0.177033583,8.68e-10,1.26e-08,3.15e-09,4.17e-09,5.17e-09,1.19e-09,1.45e-08,2.96e-09,482.3474956,15.47259298,1487.564589,565.6294284,90357.16844,90185.91076,90501.73449,118.1736898,281.1674416,279.1836204,284.1678453,1.498708378,294.4518594,287.9240022,300.4801313,4.30531587,0.309522586,-0.286406085,1.065436495,0.385487264,1.000561363,-1.026187666,3.189768473,1.58922289,0,0,0,580,6
"43",44,1,2015-02-15,"BSQ",29,0.108415684,0.177033583,1.08e-09,7.12e-09,1.92e-09,6.29e-09,6.91e-09,2.43e-09,1.91e-08,4.87e-09,485.6191561,15.96082932,1428.807558,544.7441181,90396.90576,90231.07167,90528.423,86.19624069,282.7907072,280.8417714,284.7337052,1.152761479,293.0188482,286.1867372,301.0072918,5.195869268,0.470386324,-0.020454804,1.120098286,0.351773869,1.1425265,-0.829057458,3.235260237,1.492779354,0,0,0,580,7
"44",45,1,2015-02-16,"BSQ",32.7916,0.102859425,0.177033583,1.06e-09,4e-09,1.14e-09,9e-09,6.63e-09,1.71e-09,7.05e-09,1.72e-09,476.8730583,24.45532651,1408.390707,531.2426697,90405.99173,90308.14674,90504.65732,59.45388963,283.3345989,281.8994036,285.0045993,0.989655536,292.9129235,286.6136401,300.5931986,4.922955888,0.556392634,-0.152943958,1.278319166,0.389182757,1.062260138,-1.235609576,3.026074702,1.494482085,0,0,0,580,1
