"","X","ID","date","estacion","PM25","PM25_hora","AOD_055","ndvi","BCSMASS_dia","DUSMASS_dia","DUSMASS25_dia","OCSMASS_dia","SO2SMASS_dia","SO4SMASS_dia","SSSMASS_dia","SSSMASS25_dia","blh_mean","blh_min","blh_max","blh_sd","sp_mean","sp_min","sp_max","sp_sd","d2m_mean","d2m_min","d2m_max","d2m_sd","t2m_mean","t2m_min","t2m_max","t2m_sd","v10_mean","v10_min","v10_max","v10_sd","u10_mean","u10_min","u10_max","u10_sd","tp_mean","tp_min","tp_max","tp_sd","DEM","dayWeek"
"3360",5528,6,2021-09-21,"EMB",7.554166667,7.554166667,0.094995394,0.320591939000661,3.46e-10,4.34e-09,1.16e-09,9.27e-10,1.9e-09,1.08e-09,1.28e-08,2.66e-09,773.6048863098,400.726775812684,1195.74717709299,267.750133890169,102663.082511273,102255.987390293,102897.204877257,163.44169341943,279.315977100939,278.153626738036,282.958642581576,1.02352100883587,285.214150895861,281.033851599119,288.497655663455,2.56496110950323,4.83846812423998,1.44453446115047,8.54117155353764,2.2244585684698,-2.61812358849454,-5.41339293622908,-0.333321176012612,1.69199000640162,7.06421760621897e-09,0,1.58930422384488e-07,3.23888310969353e-08,12,2
"3361",5532,6,2021-09-25,"EMB",3.820833333,3.820833333,0.06424303,0.320591939000661,3.55e-10,1.03e-08,2.35e-09,1.14e-09,2.84e-09,1.03e-09,1.09e-08,2.22e-09,490.942010797491,241.487267916396,947.015032370345,221.749762853937,101984.055430163,101451.979175463,102328.492560752,310.348050020442,284.840036275945,284.316049467428,286.677075985247,0.624077067898741,288.071165171633,285.420602640636,291.670105124362,2.28331671561387,-1.6571301699602,-2.72458405877584,0.70748664246953,0.993322744487845,-3.6303392933627,-5.74443658984259,-2.67069469712578,0.836668320794517,4.27213553282086e-07,0,2.51468756820891e-06,6.58968476400763e-07,12,6
"3362",5533,6,2021-09-26,"EMB",4.179166667,4.179166667,0.144151038,0.320591939000661,5.01e-10,1.48e-08,3.73e-09,1.84e-09,3.16e-09,1.07e-09,6.29e-09,1.37e-09,438.446890295497,131.726365371328,728.5244274382,190.423227779501,101526.769028043,101420.449930024,101633.299431061,61.0825288749305,286.707785929082,285.208830465024,288.325161243756,1.04189487764836,290.817367430413,287.056125041951,295.071817210725,2.770995101718,-3.04904444098005,-4.78489912439958,-0.0481892606012737,1.58188002974419,-1.32206899658953,-3.47940318264348,0.348847569530792,1.28768411219277,1.7909140673697e-08,0,2.89086476574548e-07,6.03981205888996e-08,12,7
"3363",5536,6,2021-09-29,"EMB",7.2,7.2,0.040058681,0.320591939000661,3.07e-10,5.69e-09,1.61e-09,1.38e-09,2.29e-09,9.87e-10,1.44e-08,3.05e-09,672.605081243956,357.938697649611,1283.85795648871,302.846790411222,101880.602825289,101493.209981468,102089.735929987,213.225698955419,285.29741061847,284.240936160441,286.448299086802,0.630500720588386,288.932416845293,286.854097008172,291.966530077865,1.90874110388125,-1.5493873865882,-3.96989369719403,2.44646099235824,1.90605233050618,-4.98560431775079,-6.72892475295793,-3.36073135190955,0.822949987776545,6.26114402338002e-06,0,3.79558965532169e-05,8.77152817592779e-06,12,3
"3364",5538,6,2021-10-01,"EMB",10.79583333,10.79583333,0.055017614,0.329688607749354,9.06e-10,1.88e-08,3.99e-09,2.54e-09,2.72e-09,1.03e-09,3.39e-09,6.14e-10,441.018965036553,52.8640413941717,882.579050513153,272.533587393659,101293.668820269,101025.896553774,101520.294063422,146.529705117235,283.848529223784,280.601802525686,288.693353272979,2.48362714274524,289.653150955839,285.075741258656,294.29620986674,3.24972135599084,2.95915380235617,0.312000233596457,6.21829947926801,1.68777867094308,1.89707926976256,-0.619897903941628,3.27088519511491,1.13881285259463,6.10287384920419e-06,0,7.05523041940718e-05,1.65912114082518e-05,12,5
"3365",5540,6,2021-10-03,"EMB",5.308333333,5.308333333,0.080219792,0.329688607749354,5.95e-10,2.13e-08,4.98e-09,1.52e-09,2.16e-09,6.78e-10,1.09e-08,2.1e-09,1119.50119650226,568.310969647711,2176.88550556437,573.161438135344,101383.766121234,101017.63838421,101569.485575531,155.264855949941,277.951625470058,273.320089298934,285.868129010364,3.74374264222416,286.130599806317,281.404328923675,289.171512915849,2.51604836685458,4.83520007143235,-2.12693580467008,6.30135511082265,1.81226261427678,4.42397415989166,2.1668452665239,6.40405196595298,0.954487909753056,0.000112381808086493,0,0.00108669633666331,0.000303739343034789,12,7
"3366",5541,6,2021-10-04,"EMB",10.74166667,10.74166667,0.051824377,0.329688607749354,9.43e-10,1.03e-08,2.7e-09,2.11e-09,3.5e-09,8.06e-10,7.09e-09,1.47e-09,637.303275294144,103.741064569127,1987.62840265685,682.145664722274,101691.616433798,101538.647076304,101890.680383728,108.993501197326,277.966735771182,276.101040570469,281.556478488724,1.28076017110702,287.138135656591,281.989536095045,292.500861496298,3.96028046524087,-0.458842105956088,-3.23637421091664,2.87955143071563,1.70955873013308,2.8480840251211,-0.314139733161077,4.53639888867639,1.24306883678226,0,0,0,0,12,1
"3367",5542,6,2021-10-05,"EMB",6.075,6.075,0.104562824,0.329688607749354,7.72e-10,8.95e-09,2.45e-09,3.19e-09,2.73e-09,7.73e-10,8.59e-09,1.58e-09,579.104991472707,167.532240150823,1287.21215386633,385.230026016793,101541.971277059,101238.414530383,101703.842788371,162.78228890468,281.493411708933,280.281937784704,283.41101358926,0.756332163175229,289.635438365007,285.303425665879,293.893659730806,3.08710167831315,-5.349075490912,-6.33843565723919,-3.43258855398135,0.883863746313128,1.05909773320169,-1.54625880429683,2.8115315654925,1.41089659295019,0,0,0,0,12,2
"3368",5543,6,2021-10-06,"EMB",7.704166667,7.704166667,0.119008138,0.329688607749354,6.9e-10,8.11e-09,2.21e-09,4.11e-09,2.17e-09,9.6e-10,1.72e-08,2.99e-09,796.03529454316,176.533864148419,1836.68419322047,561.315347952769,101801.190702649,101340.28170773,102294.287160732,349.854701913274,280.789195783675,276.892930937108,283.742634606712,2.64684334675825,287.774941942607,284.552800214471,290.45939613751,1.62147790836387,3.13666991422253,-4.32637670499643,9.03836447950762,5.3670518139727,-0.293145791939757,-2.0141949039309,2.90142097818861,1.2501187596695,0,0,0,0,12,3
"3369",5544,6,2021-10-07,"EMB",10.21666667,10.21666667,0.100684353,0.329688607749354,3.32e-10,2.35e-09,6.59e-10,1.2e-09,3.03e-09,6.44e-10,1.62e-08,3.17e-09,670.941355633504,298.145450182705,1063.42832924113,251.941300759701,102241.896773695,101986.717757984,102362.262108153,130.306314444732,276.911949619679,275.906440979107,277.880468620685,0.679594256890405,284.518133452567,281.017624271401,287.201914733972,2.06487596861083,2.13382561401087,0.0239622092372164,4.82025903920629,1.83696213801771,-2.16097595655277,-3.15854461645314,-0.691639748113798,0.73870081779494,7.89513747027784e-11,0,9.47416496433341e-10,2.67483958544535e-10,12,4
